"state","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003"
"Georgia",159.73,40.63,153.21,104.39,34.36,156.88,774.78,1.05,0.27,NA,299.92,115.95,93.84,294.12,168.74,126.45,171.51,27.53,117.11,102.39,37.8,288.7,62.42,213.03,225.42,86.49,188.04,68.18,128.9,155.66,175.18,11.54,5.53,10.24,10.19,4.78,4.92,15.1,5.59,0.96,0.08,0.04,0.36,23.59,3.56,1.02,0.06,0.78,0.1,14.41,1.06,10.14,15.19,1.95,NA,0.14,0.06,0.13,1.49,0.15,NA,0.27,5.5,0.23,0.04,0.01,0.03,0.06,0.01,NA,0.01,NA,NA,0.01,0.01,NA
"Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.22,955.24,NA,NA,99.86,1186.44,922.02,866.24,95.08,592.6,829,29.62,387.29,521.83,123.18,575.8,20.36,24.46,5.05,7.02,23.86,59.03,11.24,3.52,7.1,7.17,1.2,4.73,2.17,7.95,0.9,0.8,0.5,0.1,16.64,2.33,2.78,0.18,1.81,2.79,3.69,1.95,4.24,1.3,NA,NA,2.81,0.49,NA,0.08,0.16,0.57,0.08,NA
"Idaho",19.59,160.37,196.66,25.97,8.76,193.59,252.43,182.33,262.62,243.15,425.67,694.15,337.53,102.03,395.08,650.9,182.34,259.93,433.6,51.13,275.2,511.03,324.05,358.07,196.07,324.34,734.17,113.76,317.56,486.9,591.94,247.2,421.92,281.75,234.12,572.48,336.19,454.66,246.93,60.05,3,12.74,13.32,35.9,14.09,31.71,6.48,2.35,224.33,18.56,0.43,2.34,NA,0.2,NA,0.1,NA,6.25,0.1,NA,NA,0.8,2.19,42.15,NA,NA,0.18,0.33,0.16,6.59,0.08,NA,NA,0.16,NA,NA
"Illinois",98.24,506.18,216.07,516.97,208.31,155.65,574.84,746.81,15.43,146.95,1145.16,100.12,84.14,613.14,132.69,328.45,239.79,103.25,298.12,91.45,426.99,65.92,200.35,187.66,294.52,173.71,358.74,144.65,441.99,100.27,233.09,96.16,224.66,159,163.37,98.55,149.33,42.68,106.31,11.93,13.52,10.16,29.38,29.04,40.22,19.48,18.73,16.49,17.86,16.56,6.98,11.6,2.97,0.26,0.24,1.72,1.36,2.43,3.67,1.7,0.47,22.32,9.05,0.05,0.09,0.04,0.15,0.04,0.02,0.08,0.01,NA,0.04,0.01,NA,NA
"Indiana",263.67,322.1,120.73,541.21,88.78,108.02,631.03,299.12,21.15,210.12,523.18,59.79,16.65,381.63,94.99,263,149.11,33.51,293.05,60.93,366.54,100.14,169.41,102,179.11,162.58,517.12,86.36,368.17,180.31,396.55,99.64,223.08,124.69,161.79,122.36,458.81,48.06,116.34,13.46,15.55,10.51,5.5,58.23,23.8,13.27,4.86,9.67,79.97,71.15,3.95,3.67,2.01,0.34,0.06,6.78,0.04,0.06,0.7,NA,1.04,2.02,4.49,0.09,0.22,0.02,0.02,NA,NA,NA,0.03,0.02,NA,0.03,0.02,NA
"Iowa",28.63,82.95,395.59,34.25,6.32,33.01,346.39,865.65,8,10.76,223.17,209.13,212.6,197.87,254.79,242.8,201.38,61.4,160.44,177.89,352.26,87.03,399.49,103.78,120.84,413.78,477.14,286.64,307.41,330.75,463.82,420.25,64,192.53,393.63,280.07,819.82,339.54,197.39,29.6,6.58,9.98,31.42,94.79,33.27,10.12,4.6,24.11,1.4,123.72,2.96,0.53,0.06,0.03,NA,NA,NA,NA,5.1,NA,NA,0.45,0.96,0.59,NA,NA,0.25,NA,NA,0.28,0.03,NA,0.06,NA,NA,NA
"Kansas",136.92,555.44,666.71,93.47,326.64,335.08,538.84,1399.01,23.17,42.11,583.06,158.21,450.3,764.47,535.23,547.84,551.62,95.98,658.17,48.12,58.31,882.31,93.17,572.19,326.07,750.87,66.41,145.56,200.78,0.62,3.32,NA,NA,NA,NA,NA,NA,NA,NA,4.44,0.96,0.38,3.35,62.42,1.72,1.19,8.25,93.3,32.17,61.23,4.5,3.14,3.11,0.04,1.82,NA,NA,0.04,4.04,NA,0.04,4.75,9.46,0.36,0.08,NA,0.04,0.04,0.04,NA,NA,NA,0.08,0.04,NA,NA
"Kentucky",216.26,43.17,70.15,181.04,72.99,57.86,422.55,533.77,79.66,245.75,393.49,79.78,97.62,610.5,84.08,383.79,86.5,61.13,269.63,30.12,127.97,294.61,162.65,290.96,362.97,134.51,1026,76.09,610.29,557.76,619.64,221.65,352.98,368.68,202.29,284.88,481.84,121.06,154.21,46.83,4.37,2.21,32.39,111.46,14.43,12.38,5.52,4.55,21.88,33.04,3.35,1.63,1.75,0.03,0.06,NA,0.03,0.05,0.08,NA,0.95,1.17,1.14,0.69,7.46,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA
"Louisiana",260.33,88.79,86.29,11.47,67.44,42.77,220.96,117.22,57.67,20.71,44.77,157.03,47.78,35.01,123.74,106.44,104,41.15,126.32,49.96,57.63,51.62,28.57,78.73,23.97,155.89,104.96,5.66,69.64,34.64,9.05,2.08,7.46,1.23,6.9,4.26,3.44,3.85,3.02,4.46,0.79,3.46,8.34,42.19,3.26,2.37,0.38,0.09,7.76,2.2,21.25,6.2,0.43,0.1,0.34,0.09,0.18,0.95,0.08,NA,NA,2.79,NA,NA,NA,0.02,0.02,0.42,NA,NA,0.02,NA,NA,NA,NA,NA
"Maine",401.96,719.17,198.88,434.35,1086.28,13.39,78.02,857.76,891.89,134.35,509.67,271.09,837.74,557.7,540.61,297.99,611.07,61.29,578,504.58,335.01,1108.87,106.15,193.05,987.72,181.55,626.75,710.48,115.39,478.88,462.59,270.41,413.05,279.08,718.01,48.49,373.91,295.75,29.7,24.63,3.51,0.8,41.48,120.27,20.98,5.32,3.44,1.44,0.9,15.91,117.78,1.89,4.22,0.45,NA,NA,NA,NA,1.26,0.25,0.66,NA,0.32,0.56,0.24,0.16,0.24,NA,NA,0.32,NA,NA,NA,NA,NA,NA
"Maryland",1089.39,126.04,73.89,1264.85,65.17,41.18,1575.91,133.17,405.28,698.17,159.06,852.92,233.84,384.33,535.19,196.78,613.78,87.4,488.43,50.88,435.37,740.27,61.72,269.07,348.04,79.46,433.86,83.51,310.79,79.68,210.83,76.08,104.48,130.28,96.62,60.08,89.51,35.52,57.77,4.86,2.75,2.6,34.61,13.6,0.27,0.32,0.57,1.54,19.9,8.48,1.23,0.38,1.98,0.11,0.1,0.17,0.3,2.53,0.76,0.22,0.3,2.48,4.24,3.66,0.22,0.02,0.1,NA,0.08,0.5,NA,NA,NA,0.06,NA,NA
"Massachusetts",981.06,351.42,630.29,386.78,463.19,351.86,1039.49,286.73,613.81,478.32,229.97,546.19,498.72,474.01,564.89,752.17,433.38,186.66,798.36,252.7,675,556.88,264.72,311.54,940.07,68.28,475.05,957.5,72,222.05,714.96,123.22,420.58,416.44,511.33,84.1,135.92,354.49,15.02,7.47,9.84,6.59,15.75,8.07,21.96,69.12,7.08,2.69,0.74,12.3,5.45,0.49,0.98,1.05,0.1,0.15,1.46,1.37,0.63,1.09,0.09,1.79,0.54,0.72,0.35,0.31,0.12,0.08,0.2,0.88,0.02,0.04,NA,NA,NA,NA
"Michigan",547.55,376.46,583.62,133.48,881.09,462.14,132.48,1600.88,47.72,115.59,1505.5,328.17,299.7,1119.5,168.35,765.18,466.94,121.24,627.93,148.06,561.07,312.1,575.29,221.85,407.49,322.98,568.61,309.13,540.14,234.85,530.38,147.69,451.59,349.41,318.95,516.65,354.48,336.98,176.04,13.3,4.03,4.46,20.28,28.89,25.72,46.65,25.06,35.27,65.64,13.5,82.22,9.43,3.02,0.35,0.6,0.03,3.3,0.75,1.16,0.3,0.32,4.23,4.04,0.36,0.14,0.07,0.15,0.04,0.02,0.08,0.09,NA,0.02,NA,NA,NA
"Minnesota",79.13,492.36,218.99,123.53,95.11,752.33,313.6,1062,283.03,25.12,256.2,655.68,300.31,35.34,567.73,398.01,770.53,62.96,44.79,319.35,286.3,114.47,125.16,93.36,96.98,136.22,92.93,225.27,40.74,229.33,37.83,80.06,126.3,20.6,47.43,76.78,9.73,26.46,46.56,3.76,0.52,0.75,1.29,2.06,0.73,0.65,2.21,5.83,10.83,68.06,2.09,29.85,26.87,0.17,NA,NA,1.08,NA,0.84,0.65,0.48,0.16,9.21,0.63,0.2,NA,NA,NA,0.37,0.35,NA,NA,0.02,0.04,NA,NA
"Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.96,58.26,106.74,99.49,91.25,64.62,115.46,145.94,72.75,107.81,61.45,67.5,66.43,76.35,68.9,119.04,29.85,261.46,51.15,56.99,30.34,10.91,1.1,6.07,66.8,9.05,2.71,0.61,1.47,0.73,2.08,31.21,1.08,3.91,NA,0.16,0.08,NA,0.04,0.4,0.16,1.27,0.04,0.5,NA,0.04,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA
"Missouri",198.63,183.46,149.81,369.77,43.16,152.96,539.48,345.19,17.37,186.45,525.47,76.61,15.55,175.17,178.71,196.08,155.96,30.22,166.93,33.55,150.17,203.8,58.02,188.53,60.99,218.84,37.88,96.52,124.88,102.2,82.41,84.71,17.35,102.09,31.73,64.05,24.26,60.2,12.54,7.47,0.69,1.57,16.45,42.81,3.7,1.15,5.49,5.41,4.8,18.57,3.53,9.72,1,0.02,0.04,0.04,0.12,0.02,0.62,3.76,0.41,9.97,1.04,NA,0.02,NA,0.81,NA,0.04,0.06,NA,0.02,NA,0.02,0.02,NA
"Montana",139.86,817.76,117.52,284.85,1007.97,419.57,355.92,1422.57,81.57,111.71,1119.76,1973.32,476.48,161.21,588.48,1122.06,720.79,175.29,422.65,843.36,341.6,676.12,300.15,416.62,643.92,505.27,749.98,449.82,1016.61,528.64,1065.44,625.59,313.99,326.15,1181.36,482.41,579.59,556.37,272.69,48.96,9.69,17.13,16.01,112.98,2.35,48.63,46.2,6.98,65.89,119.65,13.86,7.87,0.26,NA,NA,NA,NA,20.52,0.24,17.11,9.66,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nebraska",78.95,303.03,745.32,24.91,31.61,117.35,331.03,639.7,86.34,34.46,209.06,276.01,129.04,34.6,428.55,401.02,186.13,71.57,395.65,37.4,263.28,207.99,275.32,41.75,214.03,183.75,191.6,12.07,178.58,16.79,108.79,29.32,14.81,44.19,8.13,15.86,54.63,31.99,11.64,36.53,4.59,44.87,52.32,4.88,1.61,0.37,6.08,25.54,3.52,13.69,0.51,4.26,4.93,0.25,0.19,NA,NA,NA,NA,NA,NA,6.65,5,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA
"Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.84,811.69,397.32,244.43,71.8,125.9,18.45,38.12,60.53,67.9,171.48,285.31,102.3,182.19,165.37,55.2,592.31,73.6,220.09,262.89,197.74,191.47,67.74,233.77,50.71,14.34,59.9,1.74,0.21,4.03,1.28,0.18,0.17,26.76,4.3,12.4,10.87,2.6,2.61,1.43,1.58,NA,0.22,NA,NA,0.3,0.19,NA,0.99,17.71,1.47,0.07,0.07,NA,0.06,0.24,0.06,NA,NA,0.35,NA,NA,NA
"New Hampshire",272.15,344.53,126.38,299.15,151.26,218.48,846.7,55.13,185.39,393.13,341.34,133.99,147.66,201.98,167.14,211.18,126.01,33.9,226.71,61.04,77.54,230.6,34.4,196.44,447.27,50.71,168.21,831.44,35.34,69.01,368.01,76.52,186.36,234.64,163.62,6.44,134.65,55.03,11.59,3.86,21.01,27.1,8.4,26.65,98.96,90.34,20.26,2.39,1.13,29.05,7.15,3.18,26.69,0.98,0.5,NA,3.3,NA,2.62,16.24,10.23,1.44,NA,NA,1.44,0.18,NA,NA,NA,1.93,NA,NA,0.24,NA,NA,NA
"New Jersey",797.14,181.86,602.87,494.19,373.96,726.94,359.92,792.91,215.06,1108.94,716.98,104.83,301.99,1044.54,322.1,927.14,658.66,78.87,1151.75,250.71,715.45,705.08,601.68,395.01,1282.7,81.21,445.79,937.1,340.37,458.1,429.08,502.21,175.27,293.59,510.19,160.62,176.38,61.18,29.39,8.8,9.74,13.46,23.46,17.39,5.64,10.1,75.03,6.48,8.56,2.67,1.01,0.66,8.92,0.77,0.08,0.36,0.07,0.31,11.6,0.5,4.25,5.28,2.47,13.05,0.4,0.06,1.68,0.04,NA,0.02,0.08,NA,NA,0.01,NA,NA
"New Mexico",663.41,54.78,529.23,324.57,271.9,148.8,731.9,147.97,234.94,487.27,628.89,316.1,216.63,778.1,315.64,105.71,303.73,67.9,215.41,226.78,174.64,671.44,136.02,297.51,210.63,662.89,355.99,621.75,495.32,747.33,912.17,484.03,6.81,2.07,NA,NA,111.15,68.59,126.32,61.2,17.64,28.3,28.59,37.27,12.07,14.03,5.35,9.07,1.3,1.92,NA,3.15,0.99,1.1,NA,NA,5.09,0.28,2.6,10.55,NA,1.4,6.66,4.92,0.06,NA,NA,1.82,0.96,0.4,NA,NA,NA,NA,NA,NA
"New York",649.97,249.09,315.39,423.22,465.06,549,258.13,516.43,477.48,202.81,518.84,331.36,212.23,789.51,191.24,478.18,334.85,52.41,600.82,108,330.91,353.09,201.33,240.63,500.59,74.14,548.37,241.44,308.53,233.63,364.15,140.21,277.27,207.29,273,107.71,156.92,52.37,61.06,6.68,21.07,30.48,8.57,23.92,3.61,9.79,7.83,6.83,17.38,26.19,10.44,8.94,11.01,1.97,1.09,0.21,0.84,0.92,5.31,2.47,0.54,1.63,4.48,7.8,0.62,NA,0.34,0.02,NA,0.14,NA,NA,0.02,NA,0.01,NA
"North Carolina",1823.69,38.49,41.17,480.48,423.04,495.59,1685.34,323.87,40.3,226.07,1383.37,664.5,210.27,658.4,564.86,165.96,671.48,72.5,225.16,127.63,26.97,442.46,118.87,81.37,93.5,115.47,229.32,29.68,178.8,43.64,93.73,73.12,27.06,110.7,19.27,30.53,26.32,8.59,15.88,19.03,6.48,7.46,19.47,35.89,0.71,0.12,0.12,0.06,0.35,0.93,2.15,1.97,2.21,0.1,0.04,NA,NA,0.14,0.07,0.23,0.03,2.99,0.71,0.64,0.36,NA,0.04,NA,0.05,0.02,NA,NA,NA,NA,NA,NA
"North Dakota",55.73,339.19,117,142.06,318.07,373.64,657.63,290.45,16.52,8.4,863.45,843.21,149.05,223.2,274.08,798.53,644.36,64.11,40.84,236.08,214.45,245.95,63.62,426.98,432.14,254.43,454.18,407.81,362.47,629.25,714.58,899.54,390.56,439,583.22,677.98,813.23,623.26,212.64,143.16,22.83,13.03,51.25,36.17,9.49,11.22,5.82,131.87,0.46,4.74,27.44,2.6,NA,NA,NA,NA,NA,0.15,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA
"Ohio",355.92,561.14,277.6,291.32,539.34,233.67,410.5,544.79,136.53,366.37,694.27,74,22.4,1132.77,127.08,276.41,557.93,49.82,200.43,239.45,282.32,268.29,161.84,295.76,248,314.96,322.29,170.31,477.29,86.94,312.78,124.39,191.15,208.73,118.46,146.63,191.15,90.96,63.04,11.74,3.25,5.38,37.7,37.07,2.82,3.77,27.44,1.1,6.76,17.29,4.67,3.02,3.54,0.2,0.03,0.83,0.1,NA,NA,0.01,0.88,25.09,5.22,0.11,0.05,0.11,0.04,0.02,0.06,0.3,NA,NA,0.03,0.01,NA,NA
"Oklahoma",268.71,46.19,164.93,32.17,43.17,101.87,378.08,102.91,15.22,45.62,116.62,194.44,60.4,88.78,260.92,76.06,166.8,51.13,188.97,10.79,66.02,354.07,27.43,359.94,92.03,173.09,152.18,132.27,440.45,66.1,317.88,29.15,51.72,25.07,86.46,14.17,42.41,9.97,25.25,32.35,4.96,5.63,30.63,25.06,0.5,2.46,1.1,9.64,9.99,1.72,0.91,0.85,22.66,0.24,0.99,0.03,0.27,NA,0.99,0.12,0.25,4.03,5.6,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
