id,title,release_date,imdb_score
9,Man of Steel,SummerVacation,7.1
9,Angels & Demons,SummerVacation,6.7
9,Despicable Me,SummerVacation,7.6
9,The Hunger Games,Easter,7.2
9,Suicide Squad,SummerVacation,6
10,Hannibal,Other,6.8
10,Ocean's Twelve,Christmas,6.5
10,Cars 2,SummerVacation,6.1
10,Wonder Woman,SummerVacation,7.4
10,Men in Black 3,SummerVacation,6.8
10,Bad Boys II,SummerVacation,6.6
10,The Hangover,SummerVacation,7.7
10,Over the Hedge,SummerVacation,6.7
10,Minority Report,SummerVacation,7.6
10,What Lies Beneath,SummerVacation,6.6
10,Batman Begins,SummerVacation,8.2
10,300,Easter,7.6
10,Doctor Strange,Christmas,7.5
10,Thor: The Dark World,Christmas,6.9
10,Interstellar,Christmas,8.6
10,The Chronicles of Narnia: Prince Caspian,SummerVacation,6.5
10,How to Train Your Dragon,Easter,8.1
10,The Hunger Games: Mockingjay - Part 2,Christmas,6.5
11,Clash of the Titans,Easter,5.8
11,Something's Gotta Give,Christmas,6.7
11,The Bourne Ultimatum,SummerVacation,8
11,Catch Me If You Can,Christmas,8.1
11,Coco,Christmas,8.4
11,The Devil Wears Prada,SummerVacation,6.9
11,Scary Movie,SummerVacation,6.2
11,National Treasure,Christmas,6.8
11,Alvin and the Chipmunks: The Squeakquel,Christmas,4.5
11,Puss in Boots,Other,6.6
11,Hitch,Other,6.6
11,Sex and the City,SummerVacation,5.6
11,Ant-Man and the Wasp,SummerVacation,7.1
11,The Croods,Easter,7.2
11,Life of Pi,Christmas,7.9
11,Moana,Christmas,7.6
11,Big Hero 6,Christmas,7.8
12,A Beautiful Mind,Other,8.2
12,Charlie's Angels: Full Throttle,SummerVacation,4.9
12,Chicago,Other,7.1
12,Fifty Shades of Grey,Other,4.1
12,How to Train Your Dragon: The Hidden World,Other,7.5
12,Pirates of the Caribbean: Dead Men Tell No Tales,SummerVacation,6.6
12,The Mummy: Tomb of the Dragon Emperor,SummerVacation,5.2
12,Charlie's Angels,Christmas,5.5
12,Night at the Museum: Battle of the Smithsonian,SummerVacation,6
12,How to Train Your Dragon 2,SummerVacation,7.8
12,Fantastic Four,SummerVacation,5.7
12,"I, Robot",SummerVacation,7.1
12,Sherlock Holmes: A Game of Shadows,Christmas,7.5
12,Ted,SummerVacation,6.9
12,Ready Player One,Easter,7.5
12,Live Free or Die Hard,SummerVacation,7.1
12,The Pursuit of Happyness,Christmas,8
12,The Chronicles of Narnia: The Voyage of the Dawn Treader,Christmas,6.3
12,World War Z,SummerVacation,7
13,The Departed,Other,8.5
13,Brave,SummerVacation,7.1
13,Austin Powers in Goldmember,SummerVacation,6.2
13,The Village,SummerVacation,6.5
13,Oz the Great and Powerful,Easter,6.3
13,American Pie 2,SummerVacation,6.4
13,Chicken Little,Christmas,5.7
13,Erin Brockovich,Easter,7.3
13,Twilight,Christmas,5.2
13,Rio,Easter,6.9
13,Cinderella,Easter,6.9
13,Star Trek,SummerVacation,7.9
13,Van Helsing,SummerVacation,6.1
13,American Sniper,Other,7.3
13,It,Other,7.3
