time,wind_speed
2019/6/12 5:00,3.480978
2019/6/12 5:10,4.16366
2019/6/12 5:20,3.629268
2019/6/12 5:30,2.388458
2019/6/12 5:40,1.972513
2019/6/12 5:50,0.930265
2019/6/12 6:00,0.728352
2019/6/12 6:10,1.165507
2019/6/12 6:20,1.145445
2019/6/12 6:30,0.858599
2019/6/12 6:40,1.304523
2019/6/12 6:50,2.321659
2019/6/12 7:00,3.252806
2019/6/12 7:10,2.579581
2019/6/12 7:20,2.645875
2019/6/12 7:30,2.059513
2019/6/12 7:40,4.452663
2019/6/12 7:50,3.785821
2019/6/12 8:00,4.045488
2019/6/12 8:10,4.111828
2019/6/12 8:20,3.664205
2019/6/12 8:30,3.166541
2019/6/12 8:40,3.530837
2019/6/12 8:50,3.674535
2019/6/12 9:00,5.424027
2019/6/12 9:10,5.554733
2019/6/12 9:20,5.466815
2019/6/12 9:30,5.511624
2019/6/12 9:40,5.521127
2019/6/12 9:50,5.303835
2019/6/12 10:00,4.32609
2019/6/12 10:10,3.451275
2019/6/12 10:20,2.273821
2019/6/12 10:30,1.836528
2019/6/12 10:40,3.031106
2019/6/12 10:50,1.226843
2019/6/12 11:00,1.187774
2019/6/12 11:10,2.407052
2019/6/12 11:20,1.996249
2019/6/12 11:30,1.83033
2019/6/12 11:40,2.352189
2019/6/12 11:50,3.096712
2019/6/12 12:00,2.44961
2019/6/12 12:10,3.117509
2019/6/12 12:20,4.009907
2019/6/12 12:30,3.952015
2019/6/12 12:40,2.9526
2019/6/12 12:50,3.168148
2019/6/12 13:00,3.083168
2019/6/12 13:10,2.898518
2019/6/12 13:20,4.007612
2019/6/12 13:30,3.583863
2019/6/12 13:40,3.332735
2019/6/12 13:50,2.852516
2019/6/12 14:00,2.762533
2019/6/12 14:10,3.069671
2019/6/12 14:20,3.347426
2019/6/12 14:30,2.859127
2019/6/12 14:40,4.055909
2019/6/12 14:50,3.87282
2019/6/12 15:00,3.698867
2019/6/12 15:10,3.676096
2019/6/12 15:20,3.143356
2019/6/12 15:30,2.602399
2019/6/12 15:40,2.51113
2019/6/12 15:50,1.985047
2019/6/12 16:00,1.437432
2019/6/12 16:10,0.517396
2019/6/12 16:20,1.356952
2019/6/12 16:30,0.993161
2019/6/12 16:40,2.238103
2019/6/12 16:50,1.835793
2019/6/12 17:00,1.840201
2019/6/12 17:10,1.635764
2019/6/12 17:20,1.238872
2019/6/12 17:30,0.450964
2019/6/12 17:40,1.522458
2019/6/12 17:50,1.406581
2019/6/12 18:00,0.545309
2019/6/12 18:10,0.641904
2019/6/12 18:20,0.297028
2019/6/12 18:30,0.415109
2019/6/12 18:40,1.104493
2019/6/12 18:50,1.896624
2019/6/12 19:00,1.890702
2019/6/12 19:10,0.739738
2019/6/12 19:20,0.628636
2019/6/12 19:30,0.595443
2019/6/12 19:40,1.274911
2019/6/12 19:50,1.573693
2019/6/12 20:00,0.948261
2019/6/12 20:10,0.379574
2019/6/12 20:20,1.358697
2019/6/12 20:30,0.963503
2019/6/12 20:40,0.590026
2019/6/12 20:50,0.365755
2019/6/12 21:00,0.334582
2019/6/12 21:10,0.700256
2019/6/12 21:20,0.471807
2019/6/12 21:30,0.739509
2019/6/12 21:40,0.505781
2019/6/12 21:50,0.470706
2019/6/12 22:00,0.698832
2019/6/12 22:10,0.322141
2019/6/12 22:20,0.612567
2019/6/12 22:30,0.388986
2019/6/12 22:40,0.261126
2019/6/12 22:50,0.288397
2019/6/12 23:00,0.541636
2019/6/12 23:10,0.525981
2019/6/12 23:20,1.18883
2019/6/12 23:30,1.763531
2019/6/12 23:40,1.688468
2019/6/12 23:50,2.259451
2019/6/13 0:00,2.322256
2019/6/13 0:10,2.334055
2019/6/13 0:20,2.465908
2019/6/13 0:30,1.88331
2019/6/13 0:40,2.193203
2019/6/13 0:50,1.986746
2019/6/13 1:00,0.585802
2019/6/13 1:10,0.56753
2019/6/13 1:20,0.421123
2019/6/13 1:30,0.606094
2019/6/13 1:40,1.001747
2019/6/13 1:50,0.901663
2019/6/13 2:00,1.153112
2019/6/13 2:10,1.318388
2019/6/13 2:20,0.425438
2019/6/13 2:30,0.508076
2019/6/13 2:40,0.596683
2019/6/13 2:50,1.336109
2019/6/13 3:00,1.306451
2019/6/13 3:10,2.08233
2019/6/13 3:20,1.528931
2019/6/13 3:30,1.027089
2019/6/13 3:40,1.167849
2019/6/13 3:50,1.377382
2019/6/13 4:00,1.948778
2019/6/13 4:10,2.18976
2019/6/13 4:20,2.067226
2019/6/13 4:30,2.09569
2019/6/13 4:40,1.367328
2019/6/13 4:50,1.397858
2019/6/13 5:00,1.339506
2019/6/13 5:10,1.114685
2019/6/13 5:20,0.668578
2019/6/13 5:30,0.497792
2019/6/13 5:40,0.569412
2019/6/13 5:50,1.302319
2019/6/13 6:00,1.926236
2019/6/13 6:10,1.877709
2019/6/13 6:20,2.094542
2019/6/13 6:30,3.136332
2019/6/13 6:40,3.040931
2019/6/13 6:50,3.134174
2019/6/13 7:00,3.185777
2019/6/13 7:10,2.952554
2019/6/13 7:20,2.956365
2019/6/13 7:30,2.932951
2019/6/13 7:40,1.923757
2019/6/13 7:50,1.453501
2019/6/13 8:00,2.170248
2019/6/13 8:10,1.869537
2019/6/13 8:20,0.754292
2019/6/13 8:30,0.913002
2019/6/13 8:40,1.664228
2019/6/13 8:50,0.950786
2019/6/13 9:00,1.734241
2019/6/13 9:10,1.102152
2019/6/13 9:20,1.87119
2019/6/13 9:30,1.720927
2019/6/13 9:40,1.022636
2019/6/13 9:50,1.575162
2019/6/13 10:00,1.714132
2019/6/13 10:10,1.298555
2019/6/13 10:20,1.515847
2019/6/13 10:30,1.473013
2019/6/13 10:40,1.258016
2019/6/13 10:50,2.956686
2019/6/13 11:00,2.895901
2019/6/13 11:10,2.537436
2019/6/13 11:20,2.890484
2019/6/13 11:30,3.253311
2019/6/13 11:40,7.058102
2019/6/13 11:50,7.863822
2019/6/13 12:00,6.925422
2019/6/13 12:10,5.919258
2019/6/13 12:20,2.575679
2019/6/13 12:30,1.960118
2019/6/13 12:40,1.304293
2019/6/13 12:50,1.151964
2019/6/13 13:00,3.059892
2019/6/13 13:10,2.951223
2019/6/13 13:20,2.945668
2019/6/13 13:30,2.468663
2019/6/13 13:40,2.277126
2019/6/13 13:50,2.391764
2019/6/13 14:00,2.27001
