"FIPS","GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex Ratio"
"SA","SA","Saudi Arabia","2023","55","308536","0.8584798704812152","194712","0.956843419202649","113824","0.7300905461343347","1.7106409895979757"
"SA","SA","Saudi Arabia","2023","56","287690","0.8004773314580497","181390","0.8913771509160633","106300","0.6818300626764107","1.7063969896519284"
"SA","SA","Saudi Arabia","2023","57","270695","0.7531899309640124","170125","0.8360192833099691","100570","0.6450766641897142","1.6916078353385702"
"SA","SA","Saudi Arabia","2023","58","255738","0.7115731231270419","159901","0.7857770428834525","95837","0.6147182287555896","1.668468336863633"
"SA","SA","Saudi Arabia","2023","59","241751","0.6726552725409815","150076","0.7374955471684168","91675","0.5880223047587954","1.6370439050995365"
"SA","SA","Saudi Arabia","2023","60","229004","0.6371876353478368","141438","0.6950471441163579","87566","0.561666333662489","1.6152159513966609"
"SA","SA","Saudi Arabia","2023","61","216798","0.6032252928688596","133547","0.6562696089827857","83251","0.533989036198249","1.604148899112323"
"SA","SA","Saudi Arabia","2023","62","203677","0.5667170267975292","124980","0.6141701103781333","78697","0.5047787435789792","1.5881164466243949"
"SA","SA","Saudi Arabia","2023","63","189877","0.5283194906505617","115915","0.5696233664944897","73962","0.47440747973351544","1.5672237094724317"
"SA","SA","Saudi Arabia","2023","64","175682","0.4888228945921411","106471","0.5232141608422967","69211","0.44393358859733834","1.5383537298984264"
"SA","SA","Saudi Arabia","2023","65","160663","0.44703357608552474","96209","0.4727851828242105","64454","0.4134212122271437","1.4926769479008284"
"SA","SA","Saudi Arabia","2023","66","145566","0.40502722802677343","85638","0.4208377333378347","59928","0.3843905173666222","1.4290148177813375"
"SA","SA","Saudi Arabia","2023","67","131213","0.36509100800377164","75667","0.37183877213940003","55546","0.3562834681225203","1.3622403053325172"
"SA","SA","Saudi Arabia","2023","68","117496","0.326924413559717","66265","0.3256359606673628","51231","0.3286061706582803","1.2934551345864809"
"SA","SA","Saudi Arabia","2023","69","104597","0.2910338469829247","57522","0.28267157216491423","47075","0.3019487318955036","1.2219224641529474"
"SA","SA","Saudi Arabia","2023","70","92870","0.2584042885484691","49626","0.24386946629560924","43244","0.27737590997534056","1.1475811673295717"
"SA","SA","Saudi Arabia","2023","71","82477","0.2294864919415536","42697","0.20981934071703598","39780","0.2551571015359136","1.0733283056812468"
"SA","SA","Saudi Arabia","2023","72","73643","0.20490650394718327","36899","0.18132711556123174","36744","0.23568357312306715","1.0042183757892444"
"SA","SA","Saudi Arabia","2023","73","66778","0.1858051209291447","32564","0.1600242876808572","34214","0.21945563277902835","0.9517741275501257"
"SA","SA","Saudi Arabia","2023","74","61757","0.1718345391179908","29642","0.145665149718584","32115","0.20599221507857884","0.9229954849758679"
"SA","SA","Saudi Arabia","2023","75","57487","0.15995356235367547","27448","0.13488351087901268","30039","0.19267632410852964","0.9137454642298346"
"SA","SA","Saudi Arabia","2023","76","53346","0.14843151907942964","25607","0.12583656598218002","27739","0.17792365106849442","0.923140704423375"
"SA","SA","Saudi Arabia","2023","77","49296","0.13716267694934137","23989","0.11788547589903216","25307","0.16232430288007454","0.9479195479511597"
"SA","SA","Saudi Arabia","2023","78","45443","0.1264419735599018","22493","0.11053391176776566","22950","0.14720602011687323","0.9800871459694989"
"SA","SA","Saudi Arabia","2023","79","41583","0.1157017931593732","20881","0.1026123065674972","20702","0.1327868857716562","1.0086465075838082"
"SA","SA","Saudi Arabia","2023","80","37416","0.10410740670108237","18895","0.09285281033441213","18521","0.11879750320630106","1.0201932940985907"
"SA","SA","Saudi Arabia","2023","81","33117","0.09214573946225531","16654","0.08184020657895208","16463","0.10559706793830431","1.0116017736743"
"SA","SA","Saudi Arabia","2023","82","28824","0.08020076680436171","14302","0.07028213249022293","14522","0.0931470947336485","0.9848505715466189"
"SA","SA","Saudi Arabia","2023","83","24642","0.06856464389373722","11976","0.05885182622730456","12666","0.08124232901090704","0.945523448602558"
"SA","SA","Saudi Arabia","2023","84","20699","0.05759352179029569","9822","0.048266753273595975","10877","0.06976731506802746","0.9030063436609359"
"SA","SA","Saudi Arabia","2023","85","17135","0.047676940715817996","7959","0.039111697139538826","9176","0.05885675122407097","0.8673714036617263"
"SA","SA","Saudi Arabia","2023","86","13494","0.037546112519360846","6082","0.029887842945429725","7412","0.047542092422930914","0.8205612520237453"
"SA","SA","Saudi Arabia","2023","87","10594","0.029477065068186512","4671","0.022953981321621544","5923","0.037991340180925495","0.7886206314367719"
"SA","SA","Saudi Arabia","2023","88","8654","0.02407915056636644","3781","0.018580390361175564","4873","0.03125642422786594","0.7759080648471167"
"SA","SA","Saudi Arabia","2023","89","7038","0.01958274343495343","3067","0.015071689298525641","3971","0.0254708107139043","0.7723495341223873"
"SA","SA","Saudi Arabia","2023","90","5634","0.015676211496522825","2460","0.012088801980558552","3174","0.020358688795248613","0.775047258979206"
"SA","SA","Saudi Arabia","2023","91","4411","0.012273299416251719","1926","0.009464647404290965","2485","0.015939301088907627","0.7750503018108652"
"SA","SA","Saudi Arabia","2023","92","3380","0.009404613925851464","1474","0.007243452894041995","1906","0.012225476006220495","0.7733473242392445"
"SA","SA","Saudi Arabia","2023","93","2436","0.006777999858986439","1056","0.005189339386776354","1380","0.008851603824021136","0.7652173913043478"
"SA","SA","Saudi Arabia","2023","94","1703","0.0047384785549482375","730","0.003587327416995018","973","0.006241022116501858","0.750256937307297"
"SA","SA","Saudi Arabia","2023","95","1153","0.0032081419693806915","487","0.002393189660378868","666","0.004271860975940635","0.7312312312312312"
"SA","SA","Saudi Arabia","2023","96","750","0.002086822616683017","313","0.001538128056875946","437","0.002803007877606693","0.7162471395881007"
"SA","SA","Saudi Arabia","2023","97","477","0.001327219184210399","195","0.000958258693580861","282","0.0018088059988217106","0.6914893617021277"
"SA","SA","Saudi Arabia","2023","98","295","0.0008208168958953201","119","0.0005847835104416535","176","0.0011289001978461739","0.6761363636363636"
"SA","SA","Saudi Arabia","2023","99","177","0.0004924901375371921","70","0.0003439903002597962","107","0.0006863200066451171","0.6542056074766355"
"SA","SA","Saudi Arabia","2023","100+","225","0.0006260467850049052","84","0.00041278836031175545","141","0.0009044029994108553","0.5957446808510638"
