road,KDA,Teamfight,farm,Damage,Survival,Win rate
top,1.1,0.29,518,2377,86176,0.33
jungle,1.8,0.59,455,2796,89289,0.1
ap,5.2,0.46,582,3999,54797,0.51
support,3.4,0.54,469,1727,84324,0.48
adc,4,0.42,613,3575,67937,0.65
